Temperature_C,Pressure_Torr,Gas_Flow_sccm,RF_Power_W,Depo_Time_sec,Thickness_nm
393.6,1.06,114.2,110.3,36.2,10.0
537.7,2.27,58.4,206.3,84.2,36.95
483.0,1.63,66.2,208.1,60.3,23.73
449.7,2.02,139.9,227.5,79.6,24.35
339.0,2.82,110.6,245.2,49.2,17.93
339.0,1.5,50.9,295.2,83.7,20.49
314.5,1.82,60.1,203.3,53.4,13.72
516.5,2.51,116.4,164.6,30.7,19.84
450.3,1.46,50.5,259.0,84.3,26.63
477.0,1.15,66.1,154.2,35.5,15.02
305.1,1.58,104.9,187.8,49.2,12.1
542.5,1.32,119.2,115.7,87.0,32.31
508.1,2.86,115.2,105.1,87.0,27.9
353.1,2.62,72.4,292.5,64.4,22.14
345.5,2.27,121.2,267.2,67.9,18.81
345.9,2.74,73.7,239.2,56.9,18.17
376.1,2.61,82.5,181.8,47.6,15.88
431.2,1.37,124.6,134.7,49.7,14.19
408.0,2.79,115.0,131.3,70.4,16.54
372.8,2.08,134.9,150.0,75.1,15.31
453.0,2.61,115.8,209.8,77.5,24.15
334.9,2.79,106.8,242.9,77.4,19.1
373.0,1.64,59.4,232.0,35.5,16.19
391.6,1.22,86.8,156.0,59.7,14.18
414.0,1.46,76.5,291.0,33.5,20.13
496.3,1.85,74.4,247.6,63.0,26.72
349.9,2.64,147.3,210.9,56.5,16.23
428.6,2.72,89.3,222.3,83.3,24.6
448.1,1.01,139.2,183.9,51.1,17.36
311.6,2.02,113.1,149.5,37.0,11.12
451.9,1.83,129.5,171.2,38.6,17.15
342.6,1.44,100.3,251.6,75.7,17.86
316.3,1.24,107.7,102.9,67.1,10.0
537.2,1.68,99.3,123.2,36.1,18.23
541.4,2.89,69.5,109.2,35.0,20.36
502.1,1.65,122.2,108.1,72.1,23.29
376.2,2.04,78.1,271.1,34.4,18.57
324.4,2.41,52.4,240.7,79.3,18.66
471.1,1.73,114.5,194.8,72.4,23.93
410.0,2.94,67.7,119.6,34.9,14.13
330.5,2.92,144.0,198.3,35.1,15.03
423.8,1.5,145.4,194.7,89.2,21.29
308.6,1.99,141.5,134.6,52.5,11.6
527.3,1.6,87.0,186.8,52.2,23.68
364.7,1.57,51.5,179.7,78.8,14.92
465.6,1.07,142.8,223.2,86.8,24.65
377.9,2.22,92.8,227.0,89.2,20.05
430.0,2.01,146.7,109.1,75.2,16.85
436.7,1.1,146.4,174.9,52.6,17.14
346.2,1.56,135.3,225.2,35.0,15.11
542.4,2.82,79.4,200.6,76.6,36.08
493.8,1.48,88.5,271.3,63.5,27.07
534.9,1.29,135.1,231.7,55.5,27.06
523.7,1.98,81.7,132.6,84.4,29.71
449.5,2.97,66.9,114.1,36.7,15.06
530.5,1.48,105.7,228.5,59.6,28.59
322.1,2.34,143.6,105.3,30.7,10.0
349.0,2.52,119.6,217.2,58.1,17.14
311.3,1.48,107.0,288.0,33.4,16.85
381.3,2.46,59.7,215.1,37.1,17.16
397.2,1.74,111.5,177.6,37.1,14.5
367.8,2.26,149.0,228.7,69.0,18.15
507.2,2.27,64.0,191.7,74.8,28.43
389.2,2.07,101.8,209.1,65.0,17.59
370.2,1.18,137.7,288.3,87.7,21.11
435.7,2.67,124.1,177.2,52.5,19.26
335.2,1.64,119.7,292.2,47.1,18.32
500.5,1.37,120.2,281.1,82.1,32.73
318.6,1.08,85.9,139.2,43.4,10.0
546.7,2.18,79.4,113.9,87.8,33.4
493.1,2.36,130.9,120.2,30.7,15.25
349.7,1.03,131.0,103.6,88.2,10.11
301.4,2.02,136.7,118.9,32.6,10.0
503.9,1.45,141.3,236.6,83.5,30.49
476.7,2.29,101.1,114.2,61.7,20.21
482.3,1.35,100.2,163.8,89.6,25.58
492.8,2.38,129.8,269.0,34.4,23.11
318.5,1.77,115.0,104.7,63.2,10.0
389.6,2.87,120.2,262.9,88.2,23.6
329.0,1.28,129.6,156.4,61.4,11.7
515.8,1.68,139.0,123.6,67.8,24.24
455.8,1.23,83.8,239.3,71.7,23.95
382.7,2.85,87.6,225.8,57.3,19.03
315.9,2.75,59.4,275.5,67.7,19.54
377.7,1.52,107.8,247.0,65.1,18.5
381.3,2.32,53.6,260.7,84.1,20.76
482.4,2.63,96.6,156.4,32.7,16.63
459.4,2.11,104.3,135.5,46.9,17.21
521.8,2.06,78.7,250.1,87.0,36.89
418.1,1.48,109.1,261.4,83.4,23.08
329.9,1.19,53.1,298.1,57.3,18.94
478.3,2.79,53.7,182.5,67.2,24.61
490.2,2.8,132.3,174.4,46.6,23.0
440.3,2.27,86.0,255.3,41.3,21.59
492.7,1.68,62.7,168.2,57.8,21.67
423.4,1.7,102.2,286.2,51.2,21.5
430.7,2.45,127.0,271.7,65.0,23.45
406.9,2.79,71.6,185.8,34.7,16.52
306.4,2.77,112.3,250.2,88.5,18.49
327.0,2.56,58.5,250.9,89.2,18.62
